"filename", "language", "YAML", "Dart", "C++", "Markdown", "Swift", "XML", "JSON", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\Drawer.dart", "Dart", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 6, 104
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\Popup_mode.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\SearchBar.dart", "Dart", 0, 87, 0, 0, 0, 0, 0, 0, 0, 2, 7, 96
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\datatables\map_detail_datatable.dart", "Dart", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 17, 187
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\datatables\player_detail_datatable.dart", "Dart", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 18, 182
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\error.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\loading.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\networkImage.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 2, 9, 94
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\widgets\dataCells.dart", "Dart", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 10, 113
"c:\Users\davidp\Documents\GitHub\KZStats\lib\common\widgets\worldRecord.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\davidp\Documents\GitHub\KZStats\lib\cubit\cubit_state.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 8, 33
"c:\Users\davidp\Documents\GitHub\KZStats\lib\cubit\cubit_update.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 12, 53
"c:\Users\davidp\Documents\GitHub\KZStats\lib\data\shared_preferences.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\davidp\Documents\GitHub\KZStats\lib\main.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 7, 41
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\about.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\bans.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\details\map_detail.dart", "Dart", 0, 157, 0, 0, 0, 0, 0, 0, 0, 4, 8, 169
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\details\player_detail.dart", "Dart", 0, 180, 0, 0, 0, 0, 0, 0, 0, 4, 8, 192
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\homepage.dart", "Dart", 0, 270, 0, 0, 0, 0, 0, 0, 0, 10, 8, 288
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\jumpstats.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\loginPage.dart", "Dart", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 8, 112
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\maps.dart", "Dart", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 10, 163
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\players.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\profile.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\davidp\Documents\GitHub\KZStats\lib\pages\settings.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\davidp\Documents\GitHub\KZStats\lib\router.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 3, 64
"c:\Users\davidp\Documents\GitHub\KZStats\lib\theme\colors.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\davidp\Documents\GitHub\KZStats\lib\toggleButton.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 3, 6, 56
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\emptyListNull.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\modifyDate.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\pointsClassification.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\strCheckLen.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\svg.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\tierIdentifier.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\timeConversion.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 7, 45
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\future\kzstatsApiPlayerNation.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\getRequest.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 4, 53
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\kzstatsApiPlayer_json.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 3, 6, 70
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\mapinfo_json.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 7, 50
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\record_json.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 3, 6, 75
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\steamplayer_json.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 11, 92
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\wr_json.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 3, 7, 111
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\steamLogin.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 28
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\urls.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 7, 8, 84
"c:\Users\davidp\Documents\GitHub\KZStats\pubspec.yaml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 0, 38, 12, 90
"c:\Users\davidp\Documents\GitHub\KZStats\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\davidp\Documents\GitHub\KZStats\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 26, 15, 5, 46
"c:\Users\davidp\Documents\GitHub\KZStats\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"Total", "-", 40, 2706, 1, 5, 12, 265, 168, 3, 26, 200, 309, 3735
